"Μήνας","Ελλάδα","Ε.Ε-27"
"Iανουάριος 2000",114.8,113.9
"Φεβρουάριος 2000",117.3,116.2
"Μάρτιος 2000",118.8,117.1
"Απρίλιος 2000",119.2,115.8
"Μάϊος 2000",118.9,116.9
"Ιούνιος 2000",119.2,115.2
"Ιούλιος 2000",119.9,115.4
"Αύγουστος 2000",119.1,115.8
"Σεπτέμβριος 2000",119.6,113.5
"Οκτώβριος 2000",114.9,114.5
"Νοέμβριος 2000",115.5,113.8
"Δεκέμβριος 2000",116.5,112.6
"Iανουάριος 2001",110.3,112
"Φεβρουάριος 2001",111,108.8
"Μάρτιος 2001",110,107
"Απρίλιος 2001",113.7,104.1
"Μάϊος 2001",113.6,101.4
"Ιούνιος 2001",112.2,101.3
"Ιούλιος 2001",111.9,101
"Αύγουστος 2001",112.5,98.8
"Σεπτέμβριος 2001",113.5,95.6
"Οκτώβριος 2001",104.7,92.4
"Νοέμβριος 2001",104.4,90.1
"Δεκέμβριος 2001",104.5,92.6
"Iανουάριος 2002",105.4,95.2
"Φεβρουάριος 2002",107.4,95.5
"Μάρτιος 2002",107.3,97.4
"Απρίλιος 2002",105.2,96.9
"Μάϊος 2002",108.1,97.5
"Ιούνιος 2002",107.2,95.9
"Ιούλιος 2002",106.6,94.9
"Αύγουστος 2002",105.7,92.9
"Σεπτέμβριος 2002",104,94.4
"Οκτώβριος 2002",105.2,92.7
"Νοέμβριος 2002",106.5,92.6
"Δεκέμβριος 2002",105.1,91.6
"Iανουάριος 2003",103.8,92
"Φεβρουάριος 2003",103.9,92.3
"Μάρτιος 2003",101.9,91
"Απρίλιος 2003",100,91.7
"Μάϊος 2003",104.4,91.4
"Ιούνιος 2003",105.8,92.2
"Ιούλιος 2003",106.5,92.5
"Αύγουστος 2003",107,94.4
"Σεπτέμβριος 2003",106.7,94.9
"Οκτώβριος 2003",108.1,96.4
"Νοέμβριος 2003",108.1,98.3
"Δεκέμβριος 2003",109.8,97.9
"Iανουάριος 2004",111,97.4
"Φεβρουάριος 2004",109,98.9
"Μάρτιος 2004",110.6,98.8
"Απρίλιος 2004",111.6,99.6
"Μάϊος 2004",110.9,100.1
"Ιούνιος 2004",109,100.4
"Ιούλιος 2004",107,100.4
"Αύγουστος 2004",104.8,99.8
"Σεπτέμβριος 2004",103,100.6
"Οκτώβριος 2004",101.9,100.7
"Νοέμβριος 2004",101.3,99.6
"Δεκέμβριος 2004",101.2,99.5
"Iανουάριος 2005",103.5,100.3
"Φεβρουάριος 2005",103.7,99.4
"Μάρτιος 2005",102.9,98.5
"Απρίλιος 2005",103.4,98.1
"Μάϊος 2005",102.7,97.4
"Ιούνιος 2005",101.1,97.5
"Ιούλιος 2005",100.8,98.6
"Αύγουστος 2005",101.4,99.8
"Σεπτέμβριος 2005",101.3,100.2
"Οκτώβριος 2005",101.1,101.9
"Νοέμβριος 2005",102.1,102.1
"Δεκέμβριος 2005",104,103.2
"Iανουάριος 2006",104.8,105.1
"Φεβρουάριος 2006",105.4,105.3
"Μάρτιος 2006",106.9,106.1
"Απρίλιος 2006",107.3,107.6
"Μάϊος 2006",109.9,108
"Ιούνιος 2006",110.1,108.3
"Ιούλιος 2006",109.3,108.6
"Αύγουστος 2006",107.6,109.1
"Σεπτέμβριος 2006",109.1,109.9
"Οκτώβριος 2006",108.5,110.6
"Νοέμβριος 2006",109,110.8
"Δεκέμβριος 2006",109.8,111.8
"Iανουάριος 2007",110.4,110.4
"Φεβρουάριος 2007",109,110.9
"Μάρτιος 2007",111.6,111.2
"Απρίλιος 2007",113.3,111.5
"Μάϊος 2007",112.8,111.3
"Ιούνιος 2007",110.5,111
"Ιούλιος 2007",110.1,110.5
"Αύγουστος 2007",109.5,109.5
"Σεπτέμβριος 2007",111.4,107.7
"Οκτώβριος 2007",108.8,107.4
"Νοέμβριος 2007",108.5,106.8
"Δεκέμβριος 2007",108,106
"Iανουάριος 2008",109.3,104.5
"Φεβρουάριος 2008",108.7,102.9
"Μάρτιος 2008",108.2,102.2
"Απρίλιος 2008",107.6,100.1
"Μάϊος 2008",105.2,98.7
"Ιούνιος 2008",103.1,94.6
"Ιούλιος 2008",102.1,91.7
"Αύγουστος 2008",101.6,89.3
"Σεπτέμβριος 2008",98.2,88.8
"Οκτώβριος 2008",93.5,83
"Νοέμβριος 2008",90.7,78.1
"Δεκέμβριος 2008",85.6,72.1
"Iανουάριος 2009",84.4,72.2
"Φεβρουάριος 2009",81.4,70
"Μάρτιος 2009",80.9,69.3
"Απρίλιος 2009",83.7,71.3
"Μάϊος 2009",85.4,75.1
"Ιούνιος 2009",90,77.6
"Ιούλιος 2009",88.6,80.3
"Αύγουστος 2009",88.4,84.2
"Σεπτέμβριος 2009",90.6,86.5
"Οκτώβριος 2009",92,88.7
"Νοέμβριος 2009",90.3,90.2
"Δεκέμβριος 2009",89.2,92.3
"Iανουάριος 2010",89.8,93.5
"Φεβρουάριος 2010",85.7,93.6
"Μάρτιος 2010",85.1,95.7
"Απρίλιος 2010",87.5,98.5
"Μάϊος 2010",82.9,97.2
"Ιούνιος 2010",84.4,97.3
"Ιούλιος 2010",85.5,99.1
"Αύγουστος 2010",85.9,100.3
"Σεπτέμβριος 2010",85.7,101.3
"Οκτώβριος 2010",86.4,101.4
"Νοέμβριος 2010",84.6,102.2
"Δεκέμβριος 2010",82.8,102.7
"Iανουάριος 2011",85,102.7
"Φεβρουάριος 2011",86,103
"Μάρτιος 2011",85.4,102.6
"Απρίλιος 2011",84.5,101.8
"Μάϊος 2011",84.6,101.4
"Ιούνιος 2011",83,100.9
"Ιούλιος 2011",83.7,99.2
"Αύγουστος 2011",86.7,96.5
"Σεπτέμβριος 2011",84.4,94.2
"Οκτώβριος 2011",81.4,93.2
"Νοέμβριος 2011",81,92.8
"Δεκέμβριος 2011",80.7,90.9
"Iανουάριος 2012",81,91.2
"Φεβρουάριος 2012",80.4,91.5
"Μάρτιος 2012",81.3,92.5
"Απρίλιος 2012",84.5,91.9
"Μάϊος 2012",82.8,90.1
"Ιούνιος 2012",81.4,89.8
"Ιούλιος 2012",82.7,88.3
"Αύγουστος 2012",85,87.5
"Σεπτέμβριος 2012",85.2,86.4
"Οκτώβριος 2012",84.5,85.3
"Νοέμβριος 2012",85.4,86.1
"Δεκέμβριος 2012",89.2,86.6
"Iανουάριος 2013",89.4,88.1
"Φεβρουάριος 2013",90.4,88.9
"Μάρτιος 2013",91,89
"Απρίλιος 2013",92.9,88.3
"Μάϊος 2013",95.8,88.8
"Ιούνιος 2013",95.8,90.1
"Ιούλιος 2013",94.8,91
"Αύγουστος 2013",94.1,93.1
"Σεπτέμβριος 2013",97.3,95.5
"Οκτώβριος 2013",94,95.5
"Νοέμβριος 2013",93.7,96.7
"Δεκέμβριος 2013",93.6,97.5
"Iανουάριος 2014",96.3,98.5
"Φεβρουάριος 2014",97.5,98.7
"Μάρτιος 2014",100.6,99.9
"Απρίλιος 2014",98.7,99.5
"Μάϊος 2014",101.3,99.4
"Ιούνιος 2014",105.8,99
"Ιούλιος 2014",105.3,98.9
"Αύγουστος 2014",105.8,98.1
"Σεπτέμβριος 2014",101.1,97.2
"Οκτώβριος 2014",102.7,97.8
"Νοέμβριος 2014",103.7,98.1
"Δεκέμβριος 2014",101.1,98.2
"Iανουάριος 2015",96.7,99.4
"Φεβρουάριος 2015",98.2,101.1
"Μάρτιος 2015",97.5,102.9
"Απρίλιος 2015",94.5,102.9
"Μάϊος 2015",93.9,102.7
"Ιούνιος 2015",94.1,102.6
"Ιούλιος 2015",84.1,102.7
"Αύγουστος 2015",79,103
"Σεπτέμβριος 2015",87.9,103.9
"Οκτώβριος 2015",89.8,104.2
"Νοέμβριος 2015",90.8,104.5
"Δεκέμβριος 2015",91.8,104.8
"Iανουάριος 2016",95.6,104.7
"Φεβρουάριος 2016",92.3,104
"Μάρτιος 2016",94.5,103.8
"Απρίλιος 2016",94.4,104.1
"Μάϊος 2016",94.4,103.8
"Ιούνιος 2016",95.4,103.9
"Ιούλιος 2016",94.1,103.7
"Αύγουστος 2016",95.2,103.1
"Σεπτέμβριος 2016",95.1,103.9
"Οκτώβριος 2016",97.3,105.1
"Νοέμβριος 2016",95.4,105.8
"Δεκέμβριος 2016",96.4,107
"Iανουάριος 2017",96.4,107.9
"Φεβρουάριος 2017",94.4,107.9
"Μάρτιος 2017",96.3,108.7
"Απρίλιος 2017",97.6,109.6
"Μάϊος 2017",95.7,109.3
"Ιούνιος 2017",98,110.3
"Ιούλιος 2017",99.1,111
"Αύγουστος 2017",99.2,111
"Σεπτέμβριος 2017",102.5,111.9
"Οκτώβριος 2017",100.4,113
"Νοέμβριος 2017",100.6,113.3
"Δεκέμβριος 2017",102.2,114.4
"Ιανουάριος 2018",102.5,114.2
"Φεβρουάριος 2018",104.6,113.6
"Μάρτιος 2018",101.2,112.4
"Απρίλιος 2018",104.5,112.7
"Μάιος 2018",104.8,111.1
"Ιούνιος 2018",104.5,111.3
"Ιούλιος 2018",104.3,110.5
"Αύγουστος 2018",103.1,110.2
"Σεπτέμβριος 2018",102,109.7
"Οκτώβριος 2018",102.6,109.4
"Νοέμβριος 2018",102.6,109.4
"Δεκέμβριος 2018",102.4,108.4
"Ιανουάριος 2019",101.1,107.3
"Φεβρουάριος 2019",102,106.8
"Μάρτιος 2019",103.2,106.7
"Απρίλιος 2019",103,104.9
"Μάιος 2019",103.3,105.1
"Ιούνιος 2019",104.8,103.1
"Ιούλιος 2019",107.4,102.1
"Αύγουστος 2019",109.5,102.6
"Σεπτέμβριος 2019",109,101.5
"Οκτώβριος 2019",108.3,101.2
"Νοέμβριος 2019",108.1,102.3
"Δεκέμβριος 2019",111.1,103.2
"Ιανουάριος 2020",109.6,105.2
"Φεβρουάριος 2020",112.8,105.4
"Μάρτιος 2020",107.4,95.3
"Απρίλιος 2020",96.9,59.7
"Μάιος 2020",84.3,63.6
"Ιούνιος 2020",85.9,74.6
"Ιούλιος 2020",90.2,82.8
"Αύγουστος 2020",89.9,89.5
"Σεπτέμβριος 2020",89.9,93.5
"Οκτώβριος 2020",93.1,94
"Νοέμβριος 2020",91.6,91.1
"Δεκέμβριος 2020",94.9,96.3
"Ιανουάριος 2021",94.1,96.4
"Φεβρουάριος 2021",96.1,98.1
"Μάρτιος 2021",99.5,103.1
"Απρίλιος 2021",99,105.2
"Μάιος 2021",108.4,109.4
"Ιούνιος 2021",108.8,114.2
"Ιούλιος 2021",112.1,116.1
"Αύγουστος 2021",113.4,115.7
"Σεπτέμβριος 2021",109.5,115.8
"Οκτώβριος 2021",113.3,116.2
"Νοέμβριος 2021",113.7,114.5
"Δεκέμβριος 2021",111,113.9
"Ιανουάριος 2022",114.1,112.6
"Φεβρουάριος 2022",114,113.3
"Μάρτιος 2022",112.1,106.2
"Απρίλος 2022",104.2,104.2
"Μάιος 2022",107.1,103.6
"Ιούνιος 2022",104,101.8